congress,chamber,icpsr,state_abbrev,party_code,bioname,nominate_dim1
103,House,15601,CA,200,"COX, Charles Christopher",0.54
103,House,15621,CA,200,"ROHRABACHER, Dana",0.626
103,House,15635,CA,100,"CONDIT, Gary Adrian",-0.103
103,House,29104,CA,200,"DOOLITTLE, John Taylor",0.519
103,House,29105,CA,100,"DOOLEY, Calvin M.",-0.19
103,House,29106,CA,100,"WATERS, Maxine",-0.656
103,House,29107,CA,200,"CUNNINGHAM, Randall (Duke)",0.411
103,House,29308,CA,100,"HAMBURG, Daniel",-0.555
103,House,29309,CA,100,"WOOLSEY, Lynn C.",-0.556
103,House,29310,CA,200,"BAKER, William P.",0.533
103,House,29311,CA,200,"POMBO, Richard William",0.461
103,House,29312,CA,100,"ESHOO, Anna Georges",-0.379
103,House,29313,CA,100,"FARR, Sam",-0.455
103,House,29314,CA,200,"HUFFINGTON, Michael",0.332
103,House,29315,CA,200,"McKEON, Howard P. (Buck)",0.396
103,House,29316,CA,100,"BECERRA, Xavier",-0.512
103,House,29317,CA,100,"ROYBAL-ALLARD, Lucille",-0.469
103,House,29318,CA,100,"HARMAN, Jane L.",-0.262
103,House,29319,CA,100,"TUCKER, Walter R., III",-0.479
103,House,29320,CA,200,"HORN, John Stephen (Steve)",0.167
103,House,29321,CA,200,"ROYCE, Edward Randall",0.657
103,House,29322,CA,200,"KIM, Jay C.",0.39
103,House,29323,CA,200,"CALVERT, Ken",0.34
103,House,29324,CA,100,"SCHENK, Lynn",-0.256
103,House,29325,CA,100,"FILNER, Bob",-0.652
103,House,14051,CO,100,"SCHROEDER, Patricia Scott",-0.225
103,House,15058,CO,200,"SCHAEFER, Daniel",0.479
103,House,15419,CO,200,"HEFLEY, Joel M.",0.591
103,House,15443,CO,100,"SKAGGS, David Evans",-0.355
103,House,29108,CO,200,"ALLARD, A. Wayne",0.572
103,House,29326,CO,200,"McINNIS, Scott",0.391
103,House,14825,CT,100,"GEJDENSON, Samuel",-0.416
103,House,14877,CT,100,"KENNELLY, Barbara Bailey",-0.346
103,House,15028,CT,200,"JOHNSON, Nancy Lee",0.122
103,House,15449,CT,200,"SHAYS, Christopher H.",0.129
103,House,29109,CT,100,"DeLAURO, Rosa L.",-0.414
103,House,29110,CT,200,"FRANKS, Gary A.",0.273
103,House,29327,DE,200,"CASTLE, Michael Newbold",0.229
103,House,21993,DC,100,"NORTON, Eleanor Holmes",-0.491
103,House,10588,FL,100,"GIBBONS, Sam Melville",-0.233
103,House,13047,FL,200,"YOUNG, Charles William (Bill)",0.325
103,House,14636,FL,100,"HUTTO, Earl Dewitt",-0.007
103,House,14842,FL,200,"McCOLLUM, Ira William, Jr. (Bill)",0.377
103,House,14860,FL,200,"SHAW, Eugene Clay, Jr.",0.3
103,House,15006,FL,200,"BILIRAKIS, Michael",0.382
103,House,15035,FL,200,"LEWIS, Thomas F.",0.387
103,House,15605,FL,200,"GOSS, Porter J.",0.421
103,House,15609,FL,100,"JOHNSTON, Harry A., II",-0.372
103,House,15627,FL,200,"STEARNS, Clifford Bundy",0.554
103,House,15634,FL,200,"ROS-LEHTINEN, Ileana",0.244
103,House,29111,FL,100,"PETERSON, Douglas Brian (Pete)",-0.261
103,House,29112,FL,100,"BACCHUS, James",-0.236
103,House,29328,FL,100,"BROWN, Corrine",-0.429
103,House,29329,FL,200,"FOWLER, Tillie Kidd",0.329
103,House,29330,FL,100,"THURMAN, Karen L.",-0.304
103,House,29331,FL,200,"MICA, John L.",0.453
103,House,29332,FL,200,"CANADY, Charles Terrance",0.382
103,House,29333,FL,200,"MILLER, Daniel",0.453
103,House,29334,FL,100,"MEEK, Carrie P.",-0.483
103,House,29335,FL,100,"DEUTSCH, Peter R.",-0.324
103,House,29336,FL,200,"DIAZ-BALART, Lincoln",0.243
103,House,29337,FL,100,"HASTINGS, Alcee Lamar",-0.564
103,House,14627,GA,200,"GINGRICH, Newton Leroy",0.377
103,House,15057,GA,100,"ROWLAND, James Roy, Jr.",-0.127
103,House,15081,GA,100,"DARDEN, George (Buddy)",-0.161
103,House,15431,GA,100,"LEWIS, John R.",-0.589
103,House,29338,GA,200,"KINGSTON, Jack",0.54
103,House,29339,GA,100,"BISHOP, Sanford Dixon, Jr.",-0.289
103,House,29340,GA,200,"COLLINS, Michael Allen (Mac)",0.536
103,House,29341,GA,200,"LINDER, John Elmer",0.559
103,House,29342,GA,100,"DEAL, John Nathan",-0.036
103,House,29343,GA,100,"JOHNSON, Clete Donald, Jr. (Don)",-0.168
103,House,29344,GA,100,"McKINNEY, Cynthia Ann",-0.533
103,House,29403,GU,100,"UNDERWOOD, Robert A.",NA
103,House,10757,HI,100,"MINK, Patsy Takemoto",-0.513
103,House,15245,HI,100,"ABERCROMBIE, Neil",-0.432
103,House,29114,ID,100,"LaROCCO, Larry",-0.243
103,House,29345,ID,200,"CRAPO, Michael Dean",0.505
103,House,6455,IL,200,"MICHEL, Robert Henry",0.372
103,House,8080,IL,100,"ROSTENKOWSKI, Daniel David",-0.39
103,House,10421,IL,100,"YATES, Sidney Richard",-0.494
103,House,12041,IL,200,"CRANE, Philip Miller",0.739
103,House,14068,IL,100,"COLLINS, Cardiss",-0.552
103,House,14239,IL,200,"HYDE, Henry John",0.312
103,House,14677,IL,200,"PORTER, John Edward",0.217
103,House,15021,IL,100,"DURBIN, Richard Joseph",-0.339
103,House,15023,IL,100,"EVANS, Lane Allen",-0.454
103,House,15036,IL,100,"LIPINSKI, William Oliver",-0.176
103,House,15098,IL,200,"FAWELL, Harris W.",0.332
103,House,15417,IL,200,"HASTERT, John Dennis",0.443
103,House,15453,IL,100,"COSTELLO, Jerry Francis",-0.317
103,House,15620,IL,100,"POSHARD, Glenn",-0.211
103,House,15622,IL,100,"SANGMEISTER, George Edward",-0.226
103,House,29115,IL,200,"EWING, Thomas W.",0.361
103,House,29346,IL,100,"RUSH, Bobby L.",-0.479
103,House,29347,IL,100,"REYNOLDS, Mel",-0.489
103,House,29348,IL,100,"GUTIÉRREZ, Luis V.",-0.487
103,House,29349,IL,200,"MANZULLO, Donald A.",0.51
103,House,10732,IN,100,"HAMILTON, Lee Herbert",-0.171
103,House,10742,IN,100,"JACOBS, Andrew, Jr.",-0.07
103,House,11036,IN,200,"MYERS, John Thomas",0.236
103,House,14274,IN,100,"SHARP, Philip Riley",-0.166
103,House,15014,IN,200,"BURTON, Danny Lee",0.585
103,House,15041,IN,100,"McCLOSKEY, Francis Xavier",-0.336
103,House,15124,IN,100,"VISCLOSKY, Peter",-0.402
103,House,15631,IN,100,"LONG, Jill Lynette",-0.224
103,House,29117,IN,100,"ROEMER, Timothy John",-0.165
103,House,29350,IN,200,"BUYER, Stephen Earle",0.435
103,House,8672,IA,100,"SMITH, Neal Edward",-0.313
103,House,14432,IA,200,"LEACH, James Albert Smith",0.141
103,House,15106,IA,200,"LIGHTFOOT, James Ross",0.391
103,House,15414,IA,200,"GRANDY, Frederick Lawrence",0.283
103,House,29118,IA,200,"NUSSLE, James Allen",0.417
103,House,14422,KS,100,"GLICKMAN, Daniel Robert",-0.133
103,House,14852,KS,200,"ROBERTS, Charles Patrick (Pat)",0.413
103,House,15061,KS,100,"SLATTERY, James Charles",-0.099
103,House,15109,KS,200,"MEYERS, Jan",0.208
103,House,6845,KY,100,"NATCHER, William Huston",-0.288
103,House,13024,KY,100,"MAZZOLI, Romano Louis",-0.186
103,House,14854,KY,200,"ROGERS, Harold Dallas (Hal)",0.334
103,House,15406,KY,200,"BUNNING, James Paul David",0.521
103,House,29351,KY,100,"BARLOW, Thomas J., III",-0.316
103,House,29352,KY,200,"LEWIS, Ron",0.418
103,House,29353,KY,100,"BAESLER, Henry Scott (Scotty)",-0.155
103,House,14469,LA,200,"LIVINGSTON, Robert Linlithgow, Jr.",0.326
103,House,14679,LA,100,"TAUZIN, Wilbert Joseph (Billy)",0.03
103,House,15401,LA,200,"BAKER, Richard Hugh",0.423
103,House,15418,LA,100,"HAYES, James Allison",-0.057
103,House,15451,LA,200,"MCCRERY, James O., III",0.362
103,House,29120,LA,100,"JEFFERSON, William Jennings",-0.424
103,House,29354,LA,100,"FIELDS, Cleo",-0.457
103,House,14661,ME,200,"SNOWE, Olympia Jean",0.091
103,House,29121,ME,100,"ANDREWS, Thomas Hiram",-0.398
103,House,14873,MD,100,"HOYER, Steny Hamilton",-0.381
103,House,15086,MD,200,"BENTLEY, Helen Delich",0.276
103,House,15408,MD,100,"CARDIN, Benjamin Louis",-0.32
103,House,15433,MD,100,"MFUME, Kweisi",-0.44
103,House,15434,MD,200,"MORELLA, Constance A.",-0.018
103,House,29122,MD,200,"GILCHREST, Wayne Thomas",0.204
103,House,29355,MD,100,"WYNN, Albert Russell",-0.38
103,House,29356,MD,200,"BARTLETT, Roscoe Gardner",0.493
103,House,14039,MA,100,"MOAKLEY, John Joseph",-0.418
103,House,14055,MA,100,"STUDDS, Gerry Eastman",-0.444
103,House,14435,MA,100,"MARKEY, Edward John",-0.517
103,House,14824,MA,100,"FRANK, Barney",-0.499
103,House,15427,MA,100,"KENNEDY, Joseph Patrick, II",-0.413
103,House,15616,MA,100,"NEAL, Richard Edmund",-0.417
103,House,29123,MA,100,"OLVER, John Walter",-0.577
103,House,29357,MA,200,"BLUTE, Peter I.",0.192
103,House,29358,MA,100,"MEEHAN, Martin Thomas",-0.39
103,House,29359,MA,200,"TORKILDSEN, Peter Gerard",0.155
103,House,2605,MI,100,"DINGELL, John David, Jr.",-0.448
103,House,10713,MI,100,"CONYERS, John, Jr.",-0.658
103,House,10727,MI,100,"FORD, William David",-0.516
103,House,14210,MI,100,"CARR, Milton Robert (Bob)",-0.254
103,House,14407,MI,100,"BONIOR, David Edward",-0.547
103,House,14430,MI,100,"KILDEE, Dale Edward",-0.385
103,House,15033,MI,100,"LEVIN, Sander Martin",-0.379
103,House,15103,MI,200,"HENRY, Paul B.",0.264
103,House,15446,MI,200,"UPTON, Frederick Stephen",0.32
103,House,29124,MI,200,"CAMP, David Lee",0.385
103,House,29125,MI,100,"COLLINS, Barbara-Rose",-0.648
103,House,29360,MI,100,"STUPAK, Bart T.",-0.396
103,House,29361,MI,200,"HOEKSTRA, Peter",0.516
103,House,29362,MI,200,"EHLERS, Vernon James",0.316
103,House,29363,MI,100,"BARCIA, James A.",-0.184
103,House,29364,MI,200,"SMITH, Nick H.",0.505
103,House,29365,MI,200,"KNOLLENBERG, Joseph",0.366
103,House,14265,MN,100,"OBERSTAR, James Louis",-0.553
103,House,14458,MN,100,"VENTO, Bruce Frank",-0.472
103,House,14656,MN,100,"SABO, Martin Olav",-0.516
103,House,15052,MN,100,"PENNY, Timothy Joseph",-0.051
103,House,29126,MN,200,"RAMSTAD, James (Jim)",0.316
103,House,29127,MN,100,"PETERSON, Collin Clark",-0.148
103,House,29366,MN,100,"MINGE, David R.",-0.213
103,House,29367,MN,200,"GRAMS, Rod",0.506
103,House,10075,MS,100,"WHITTEN, Jamie Lloyd",-0.161
103,House,11035,MS,100,"MONTGOMERY, Gillespie V. (Sonny)",0.017
103,House,15411,MS,100,"ESPY, Alphonso Michael (Mike)",-0.386
103,House,15617,MS,100,"PARKER, Michael (Mike)",0.034
103,House,15637,MS,100,"TAYLOR, Gary Eugene (Gene)",-0.045
103,House,29368,MS,100,"THOMPSON, Bennie",-0.519
103,House,12009,MO,100,"CLAY, William Lacy, Sr.",-0.49
103,House,14421,MO,100,"GEPHARDT, Richard Andrew",-0.416
103,House,14451,MO,100,"SKELTON, Isaac Newton, IV (Ike)",-0.172
103,House,14459,MO,100,"VOLKMER, Harold Lee",-0.196
103,House,14819,MO,200,"EMERSON, Norvell William (Bill)",0.332
103,House,15076,MO,100,"WHEAT, Alan Dupree",-0.465
103,House,15606,MO,200,"HANCOCK, Melton D. (Mel)",0.79
103,House,29369,MO,200,"TALENT, James Matthes",0.364
103,House,29370,MO,100,"DANNER, Patsy Ann (Pat)",-0.186
103,House,14672,MT,100,"WILLIAMS, John Patrick",-0.315
103,House,14605,NE,200,"BEREUTER, Douglas Kent",0.231
103,House,15607,NE,100,"HOAGLAND, Peter J.",-0.209
103,House,29129,NE,200,"BARRETT, William E.",0.379
103,House,15075,NV,200,"VUCANOVICH, Barbara Farrell",0.441
103,House,15403,NV,100,"BILBRAY, James Hubert",-0.184
103,House,29130,NH,200,"ZELIFF, William H., Jr.",0.438
103,House,29131,NH,100,"SWETT, Richard",-0.144
103,House,14238,NJ,100,"HUGHES, William John",-0.153
103,House,14855,NJ,200,"ROUKEMA, Margaret Scafati",0.162
103,House,14863,NJ,200,"SMITH, Christopher Henry",0.184
103,House,15071,NJ,100,"TORRICELLI, Robert Guy",-0.262
103,House,15099,NJ,200,"GALLO, Dean Anderson",0.203
103,House,15112,NJ,200,"SAXTON, Hugh James",0.238
103,House,15454,NJ,100,"PALLONE, Frank, Jr.",-0.402
103,House,15619,NJ,100,"PAYNE, Donald Milford",-0.592
103,House,29132,NJ,100,"ANDREWS, Robert Ernest",-0.297
103,House,29133,NJ,200,"ZIMMER, Richard",0.27
103,House,29371,NJ,200,"FRANKS, Robert Douglas",0.259
103,House,29372,NJ,100,"KLEIN, Herbert C.",-0.286
103,House,29373,NJ,100,"MENENDEZ, Robert",-0.366
103,House,14861,NM,200,"SKEEN, Joseph Richard",0.301
103,House,15055,NM,100,"RICHARDSON, Bill",-0.321
103,House,15624,NM,200,"SCHIFF, Steven Harvey",0.196
103,House,12013,NY,200,"FISH, Hamilton, Jr.",0.07
103,House,13035,NY,100,"RANGEL, Charles B.",-0.514
103,House,14015,NY,200,"GILMAN, Benjamin Arthur",0.043
103,House,14248,NY,100,"LaFALCE, John Joseph",-0.357
103,House,14662,NY,200,"SOLOMON, Gerald Brooks Hunt",0.492
103,House,14858,NY,100,"SCHUMER, Charles Ellis (Chuck)",-0.355
103,House,15000,NY,100,"ACKERMAN, Gary Leonard",-0.429
103,House,15007,NY,200,"BOEHLERT, Sherwood Louis",0.103
103,House,15050,NY,100,"OWENS, Major Robert Odell",-0.569
103,House,15072,NY,100,"TOWNS, Edolphus",-0.519
103,House,15107,NY,100,"MANTON, Thomas J.",-0.361
103,House,15412,NY,100,"FLAKE, Floyd Harold",-0.455
103,House,15421,NY,100,"HOCHBRUECKNER, George Joseph",-0.348
103,House,15423,NY,200,"HOUGHTON, Amory, Jr.",0.154
103,House,15444,NY,100,"SLAUGHTER, Louise McIntosh",-0.465
103,House,15603,NY,100,"ENGEL, Eliot Lance",-0.408
103,House,15612,NY,100,"LOWEY, Nita M.",-0.389
103,House,15614,NY,100,"McNULTY, Michael Robert",-0.369
103,House,15618,NY,200,"PAXON, L. William",0.472
103,House,15630,NY,200,"WALSH, James T.",0.208
103,House,15639,NY,200,"MOLINARI, Susan",0.256
103,House,29134,NY,100,"SERRANO, José E.",-0.491
103,House,29374,NY,200,"LAZIO, Enrico A. (Rick)",0.216
103,House,29375,NY,200,"KING, Peter T.",0.259
103,House,29376,NY,200,"LEVY, David A.",0.347
103,House,29377,NY,100,"NADLER, Jerrold Lewis",-0.507
103,House,29378,NY,100,"VELÁZQUEZ, Nydia M.",-0.546
103,House,29379,NY,100,"MALONEY, Carolyn Bosher",-0.387
103,House,29380,NY,100,"HINCHEY, Maurice Dunlea",-0.575
103,House,29381,NY,200,"QUINN, John Francis (Jack)",0.198
103,House,39316,NY,200,"McHUGH, John Michael",0.225
103,House,14048,NC,100,"ROSE, Charles Grandison, III",-0.319
103,House,14233,NC,100,"HEFNER, Willie Gathrel (Bill)",-0.264
103,House,14262,NC,100,"NEAL, Stephen Lybrook",-0.145
103,House,15073,NC,100,"VALENTINE, Itimous Thaddeus (Tim), Jr.",-0.084
103,House,15092,NC,200,"COBLE, Howard",0.52
103,House,15108,NC,200,"McMILLAN, John Alexander, III (Alex)",0.294
103,House,15402,NC,200,"BALLENGER, Cass",0.464
103,House,15430,NC,100,"LANCASTER, H. Martin",-0.134
103,House,15438,NC,100,"PRICE, David Eugene",-0.343
103,House,29135,NC,200,"TAYLOR, Charles Hart",0.488
103,House,29382,NC,100,"CLAYTON, Eva M.",-0.459
103,House,29383,NC,100,"WATT, Melvin L.",-0.526
103,House,29384,ND,100,"POMEROY, Earl Ralph, III",-0.266
103,House,12030,OH,100,"STOKES, Louis",-0.578
103,House,14045,OH,200,"REGULA, Ralph Straus",0.221
103,House,14225,OH,200,"GRADISON, Willis David, Jr.",0.233
103,House,14402,OH,100,"APPLEGATE, Douglas Earl",-0.106
103,House,14632,OH,100,"HALL, Tony Patrick",-0.28
103,House,14875,OH,200,"OXLEY, Michael Garver",0.382
103,House,15029,OH,100,"KAPTUR, Marcia Carolyn (Marcy)",-0.341
103,House,15030,OH,200,"KASICH, John Richard",0.314
103,House,15121,OH,100,"TRAFICANT, James A., Jr.",-0.082
103,House,15442,OH,100,"SAWYER, Thomas Charles",-0.377
103,House,15604,OH,200,"GILLMOR, Paul Eugene",0.254
103,House,29136,OH,200,"HOBSON, David Lee",0.315
103,House,29137,OH,200,"BOEHNER, John Andrew",0.513
103,House,29385,OH,100,"MANN, David Scott",-0.216
103,House,29386,OH,200,"PORTMAN, Robert Jones (Rob)",0.371
103,House,29388,OH,200,"HOKE, Martin R.",0.338
103,House,29389,OH,100,"BROWN, Sherrod",-0.425
103,House,29390,OH,200,"PRYCE, Deborah D.",0.32
103,House,29391,OH,100,"FINGERHUT, Eric D.",-0.191
103,House,29747,OH,100,"STRICKLAND, Ted",-0.384
103,House,14219,OK,100,"ENGLISH, Glenn Lee, Jr.",-0.027
103,House,14667,OK,100,"SYNAR, Michael Lynn",-0.321
103,House,14843,OK,100,"McCURDY, David Keith",-0.112
103,House,15424,OK,200,"INHOFE, James Mountain",0.552
103,House,29138,OK,100,"BREWSTER, William K.",-0.08
103,House,29392,OK,200,"ISTOOK, Ernest James, Jr.",0.492
103,House,29393,OK,200,"LUCAS, Frank D.",0.361
103,House,14871,OR,100,"WYDEN, Ronald Lee",-0.335
103,House,15063,OR,200,"SMITH, Robert Freeman",0.396
103,House,15410,OR,100,"DeFAZIO, Peter Anthony",-0.427
103,House,29139,OR,100,"KOPETSKI, Michael J.",-0.589
103,House,29394,OR,100,"FURSE, Elizabeth",-0.457
103,House,10607,PA,200,"McDADE, Joseph Michael",0.093
103,House,14052,PA,200,"SHUSTER, E. G. (Bud)",0.416
103,House,14072,PA,100,"MURTHA, John Patrick, Jr.",-0.265
103,House,14288,PA,200,"GOODLING, William Franklin",0.336
103,House,14441,PA,100,"MURPHY, Austin John",-0.081
103,House,14461,PA,200,"WALKER, Robert Smith",0.581
103,House,14612,PA,200,"CLINGER, William Floyd, Jr.",0.176
103,House,14808,PA,100,"COYNE, William Joseph",-0.494
103,House,14823,PA,100,"FOGLIETTA, Thomas Michael",-0.506
103,House,15008,PA,100,"BORSKI, Robert Anthony, Jr.",-0.416
103,House,15026,PA,200,"GEKAS, George William",0.426
103,House,15056,PA,200,"RIDGE, Thomas Joseph",0.186
103,House,15104,PA,100,"KANJORSKI, Paul E.",-0.303
103,House,15447,PA,200,"WELDON, Wayne Curtis (Curt)",0.232
103,House,29140,PA,100,"BLACKWELL, Lucien Edward",-0.538
103,House,29141,PA,200,"SANTORUM, Richard John (Rick)",0.338
103,House,29395,PA,100,"KLINK, Ronald",-0.31
103,House,29396,PA,100,"HOLDEN, Thomas Timothy (Tim)",-0.233
103,House,29397,PA,200,"GREENWOOD, James Charles",0.225
103,House,29398,PA,100,"MARGOLIES-MEZVINSKY, Marjorie",-0.223
103,House,29399,PA,100,"MCHALE, Paul F., Jr.",-0.242
103,House,29402,PR,100,"ROMERO-BARCELÓ, Carlos A.",NA
103,House,15615,RI,200,"MACHTLEY, Ronald K.",0.113
103,House,29142,RI,100,"REED, John F. (Jack)",-0.36
103,House,13042,SC,200,"SPENCE, Floyd Davidson",0.32
103,House,14212,SC,100,"DERRICK, Butler Carson, Jr.",-0.215
103,House,15064,SC,100,"SPRATT, John McKee, Jr.",-0.256
103,House,15439,SC,200,"RAVENEL, Arthur, Jr.",0.162
103,House,39300,SC,200,"INGLIS, Robert Durden",0.518
103,House,39301,SC,100,"CLYBURN, James Enos",-0.466
103,House,15425,SD,100,"JOHNSON, Timothy Peter (Tim)",-0.25
103,House,10616,TN,200,"QUILLEN, James Henry",0.246
103,House,14224,TN,100,"FORD, Harold Eugene",-0.438
103,House,14251,TN,100,"LLOYD, Marilyn Laird",-0.058
103,House,15019,TN,100,"COOPER, James Hayes Shofner",-0.164
103,House,15066,TN,200,"SUNDQUIST, Donald Kenneth",0.371
103,House,15100,TN,100,"GORDON, Barton Jennings",-0.204
103,House,15450,TN,100,"CLEMENT, Robert Nelson",-0.216
103,House,15455,TN,200,"DUNCAN, John J., Jr.",0.604
103,House,15628,TN,100,"TANNER, John S.",-0.182
103,House,1077,TX,100,"BROOKS, Jack Bascom",-0.407
103,House,10520,TX,100,"GONZÁLEZ, Henry B.",-0.538
103,House,10614,TX,100,"PICKLE, James Jarrell (Jake)",-0.218
103,House,10716,TX,100,"de la GARZA, Eligio, II (Kika)",-0.255
103,House,13002,TX,200,"ARCHER, William Reynolds, Jr.",0.496
103,House,14062,TX,100,"WILSON, Charles",-0.196
103,House,14626,TX,100,"FROST, Jonas Martin",-0.316
103,House,14664,TX,100,"STENHOLM, Charles Walter",0.019
103,House,14822,TX,200,"FIELDS, Jack Milton, Jr.",0.541
103,House,14828,TX,100,"HALL, Ralph Moody",0.096
103,House,15001,TX,100,"ANDREWS, Michael Allen",-0.135
103,House,15013,TX,100,"BRYANT, John Wiley",-0.358
103,House,15018,TX,100,"COLEMAN, Ronald D'Emory",-0.402
103,House,15049,TX,100,"ORTIZ, Solomon P.",-0.272
103,House,15085,TX,200,"BARTON, Joe Linus",0.528
103,House,15093,TX,200,"COMBEST, Larry Ed",0.458
103,House,15094,TX,200,"DeLAY, Thomas Dale",0.593
103,House,15125,TX,200,"ARMEY, Richard Keith",0.635
103,House,15129,TX,100,"CHAPMAN, Jim",-0.198
103,House,15445,TX,200,"SMITH, Lamar Seeligson",0.425
103,House,15611,TX,100,"LAUGHLIN, Gregory H.",-0.097
103,House,15623,TX,100,"SARPALIUS, William",-0.078
103,House,15636,TX,100,"GEREN, Preston M. (Pete)",-0.032
103,House,29143,TX,200,"JOHNSON, Sam",0.61
103,House,29144,TX,100,"EDWARDS, Thomas Chester (Chet)",-0.226
103,House,29145,TX,100,"WASHINGTON, Craig Anthony",-0.766
103,House,39302,TX,200,"BONILLA, Henry",0.4
103,House,39303,TX,100,"TEJEDA, Frank",-0.277
103,House,39304,TX,100,"GREEN, Raymond Eugene (Gene)",-0.324
103,House,39305,TX,100,"JOHNSON, Eddie Bernice",-0.485
103,House,14829,UT,200,"HANSEN, James Vear",0.496
103,House,29146,UT,100,"ORTON, William",-0.086
103,House,39306,UT,100,"SHEPHERD, Karen",-0.246
103,House,29147,VT,328,"SANDERS, Bernard",-0.545
103,House,29400,VI,100,"DE LUGO, Ron",NA
103,House,14802,VA,200,"BLILEY, Thomas Jerome, Jr.",0.382
103,House,14869,VA,200,"WOLF, Frank Rudolph",0.284
103,House,15003,VA,200,"BATEMAN, Herbert Harvell",0.242
103,House,15010,VA,100,"BOUCHER, Frederick C.",-0.265
103,House,15060,VA,100,"SISISKY, Norman",-0.122
103,House,15437,VA,100,"PICKETT, Owen Bradford",-0.149
103,House,15452,VA,100,"PAYNE, Lewis Franklin, Jr.",-0.148
103,House,29149,VA,100,"MORAN, James P.",-0.302
103,House,39307,VA,100,"SCOTT, Robert C.",-0.451
103,House,39308,VA,200,"GOODLATTE, Robert William",0.496
103,House,39309,VA,100,"BYRNE, Leslie Larkin",-0.259
103,House,10726,WA,100,"FOLEY, Thomas Stephen",-0.354
103,House,14413,WA,100,"DICKS, Norman DeValois",-0.312
103,House,14666,WA,100,"SWIFT, Allan Byron",-0.43
103,House,15613,WA,100,"MCDERMOTT, James A.",-0.666
103,House,15629,WA,100,"UNSOELD, Jolene",-0.52
103,House,29937,WA,100,"INSLEE, Jay Robert",-0.33
103,House,39310,WA,100,"CANTWELL, Maria E.",-0.309
103,House,39312,WA,200,"DUNN, Jennifer Blackburn",0.384
103,House,39313,WA,100,"KREIDLER, Myron Bradford (Mike)",-0.294
103,House,14448,WV,100,"RAHALL, Nick Joe, II",-0.306
103,House,15077,WV,100,"WISE, Robert Ellsworth, Jr.",-0.32
103,House,15083,WV,100,"MOLLOHAN, Alan Bowlby",-0.292
103,House,12036,WI,100,"OBEY, David Ross",-0.45
103,House,13003,WI,100,"ASPIN, Leslie",-0.32
103,House,14655,WI,200,"ROTH, Toby A.",0.351
103,House,14657,WI,200,"SENSENBRENNER, Frank James, Jr.",0.638
